Target	a1	a2	a3	a4	a5
pips	orange	telephone	oranges	apple	phone
conducted	orchestra	tour	bus	electricity	led
law	order	court	justice	legal	police
dug	out	hole	spade	dig	trench
through	out	over	road	pass	tunnel
in	out	time	side	order	trouble
lawless	outlaw	bandit	criminal	wild	free
intake	output	air	food	breath	consume
inside	outside	out	jail	within	blood
objection	overruled	no	raise	sustained	against
jotting	pad	down	notes	paper	scribble
torture	pain	chamber	hurt	agony	horrible
suffer	pain	children	from	agony	christ
discomfort	pain	comfort	ease	hurt	itch
toothache	pain	dentist	hurt	teeth	tooth
infliction	pain	wound	hurt	disease	illness
decorate	paint	house	room	wall	wallpaper
artist	paint	painter	painting	brush	picture
draw	paint	sketch	picture	pencil	back
matching	pair	pairs	same	set	clothes
india	pakistan	rubber	china	foreign	curry
fold	paper	crease	up	bend	sheep
news	paper	flash	reader	good	reel
quarto	paper	four	sheet	shakespeare	file
waste	paper	land	rubbish	bin	want
graph	paper	line	maths	plot	diagram
journal	paper	magazine	newspaper	book	diary
editor	paper	newspaper	magazine	news	book
filter	paper	tip	cigarette	funnel	tipped
sherry	party	drink	glass	port	wine
political	party	wilson	science	animal	harold
failed	passed	exam	pass	exams	bad
active	passive	life	lively	sport	lazy
hobbies	pastimes	games	none	music	fun
mosaic	pattern	floor	roman	tiles	wall
pinnacle	peak	mountain	top	point	height
process	peas	cheese	chemistry	computer	manufacture
pencil	pen	lead	paper	case	rubber
shilling	pence	bob	money	sixpence	penny
sharpener	pencil	knife	stone	belt	blade
swinging	pendulum	swing	dodgy	great	london
erect	penis	upright	straight	up	building
faces	people	eyes	many	nose	pink
places	people	towns	names	faces	travel
practice	perfect	doctor	piano	sport	time
idyllic	perfect	scene	island	dream	peaceful
menstrual	period	cycle	fluid	blood	flow
monthly	period	weekly	magazine	yearly	annually
menstruation	period	women	cycle	sex	blood
allow	permit	let	me	disallow	money
nuisance	pest	bother	value	annoyance	noise
hamster	pet	animal	cage	pig	mouse
shell	petrol	fish	sea	oil	egg
blackberry	pie	bush	fruit	way	jam
custard	pie	powder	tart	pudding	birds
mantel	piece	fireplace	cloak	coat	shelf
hog	pig	road	hedge	wart	wash
squeal	pig	scream	shout	shriek	mouse
heap	pile	rubbish	manure	muck	coal
prick	pin	needle	blood	finger	penis
bottomless	pit	empty	topless	well	deep
position	place	first	here	in	job
situation	place	position	vacant	job	comedy
plot	plan	land	gunpowder	play	conspiracy
aspidistra	plant	flower	flying	biggest	green
photosynthesis	plant	green	plants	light	biology
propagation	plants	spread	waves	light	propaganda
casts	plaster	throws	play	fish	iron
chrome	plate	plated	car	metal	polish
acting	play	stage	drama	playing	pretending
acted	played	play	stage	upon	did
spark	plug	fire	light	flame	electricity
stanza	poem	verse	music	line	poetry
prose	poetry	verse	poem	cons	french
moot	point	moat	coot	hoot	boot
crisis	point	war	climax	cuba	danger
tent	pole	peg	camp	camping	canvas
custody	police	prison	jail	charge	arrest
statesman	politician	churchill	politics	kennedy	new
anarchist	politics	black	revolutionary	student	fool
mint	polo	money	sauce	hole	sweet
ping	pong	ball	bell	bullet	catch
crackle	pop	fire	snap	radio	noise
fizz	pop	lemonade	bang	buzz	drink
oats	porridge	barley	wild	horses	sex
parcel	post	string	package	paper	present
placard	poster	demonstration	board	demonstrate	sign
ounce	pound	weight	flesh	bounce	tobacco
million	pounds	dollars	money	thousand	air
corridors	power	doors	hospital	passages	school
flower	power	pot	rose	garden	petal
theory	practice	hypothesis	idea	maths	fact
bigotry	prejudice	marriage	biased	fool	black
picturesque	pretty	beautiful	scene	nice	village
attractive	pretty	girl	nice	beautiful	woman
newspapers	print	news	read	times	mirror
conviction	prison	belief	criminal	sentence	crime
cell	prison	biology	wall	battery	body
incarceration	prison	burn	tomb	death	burning
jailor	prison	keys	jail	prisoner	water
convict	prison	prisoner	jail	sentence	criminal
captive	prisoner	audience	prison	free	chains
housing	problem	estate	shortage	list	house
solving	problem	puzzle	problems	equation	mystery
whore	prostitute	woman	sex	tart	brothel
vain	proud	mirror	in	woman	conceited
inn	pub	beer	drink	out	house
plum	pudding	fruit	jam	pie	pear
treacle	pudding	sticky	toffee	tart	syrup
powder	puff	gun	keg	nose	face
placed	put	last	positioned	situated	table
teaser	puzzle	brain	joke	problem	prick
halved	quartered	cut	two	shared	split
reign	queen	king	rule	terror	monarch
ponce	queer	pimp	prostitute	head	pansy
ask	question	me	why	demand	reply
asked	question	what	demanded	questioned	for
sudden	quick	death	shock	thought	fright
hasty	quick	fast	hurry	decision	hurried
rapid	quick	fast	river	water	speed
suddenly	quickly	now	quick	then	bang
silence	quiet	golden	noise	peace	still
shush	quiet	hush	snow	noise	peace
hush	quiet	puppies	puppy	baby	peace
skinned	rabbit	alive	tomato	apple	cat
burrow	rabbit	hole	mole	dig	earth
chariot	race	horses	wheel	horse	roman
track	race	path	run	train	suit
mackintosh	rain	coat	raincoat	wet	mac
cloudy	rain	sky	dull	day	weather
squalls	rain	storms	wind	showers	gales
drops	rain	water	falls	eye	acid
walked	ran	talked	feet	miles	strolled
welsh	rarebit	irish	nationalist	wales	english
rodent	rat	mouse	animal	pest	rats
rodents	rats	mice	animals	teeth	rat
rant	rave	rage	angry	pant	ramble
prepared	ready	be	for	food	scout
idealism	realism	impossible	good	love	me
lately	recently	now	come	recent	soon
disc	record	jockey	brakes	slipped	discotheque
disk	record	round	circle	slipped	brake
tape	recorder	measure	magnetic	recording	worm
balloon	red	air	burst	race	gas
amber	red	green	light	yellow	orange
tomatoes	red	salad	potatoes	ketchup	food
cherries	red	stones	fruit	ripe	orchard
buses	red	trams	transport	cars	traffic
barrier	reef	sound	fence	customs	stop
mirrors	reflection	glass	wall	images	reflections
rule	regulation	law	ruler	line	break
mender	repair	shoe	cobbler	repairer	road
waiter	restaurant	waitress	food	cafe	servant
rebel	revolt	cause	student	against	irish
curried	rice	chips	beef	chicken	egg
lavish	rich	expensive	extravagant	generous	luxury
prosper	rich	wealth	money	grow	prosperous
rags	riches	bones	tatters	clothes	bags
range	rifle	gun	rider	fire	distance
bayonet	rifle	gun	sharp	soldier	war
accuracy	right	correct	precise	precision	speed
properly	right	correctly	correct	done	well
jewelry	ring	diamond	money	diamonds	rings
diamond	ring	stone	hard	rough	carbon
tear	rip	cry	drop	away	off
tearing	rip	paper	ripping	cloth	hurry
bridge	river	cards	gap	kwai	over
meander	river	wander	wind	stream	bend
access	road	entrance	entry	way	door
main	road	line	water	stream	central
streets	roads	houses	lights	lamps	town
thieves	robbers	steal	night	crooks	money
fishing	rod	boat	line	fish	trout
stone	rolling	hard	rock	wall	pebble
toga	roman	rome	caesar	dress	yoga
tiles	roof	bathroom	floor	cat	kitchen
thatch	roof	cottage	house	straw	barn
tile	roof	floor	bathroom	ceiling	slate
accommodation	room	flat	hotel	digs	house
skipping	rope	jumping	hopping	jump	children
cord	rope	string	pull	trousers	umbilical
coarse	rough	harsh	crude	hard	fine
smooth	rough	silk	soft	glass	skin
sphere	round	circle	globe	ball	world
turning	round	corner	point	circle	twisting
fairground	roundabout	fun	noise	play	swings
exception	rule	odd	difference	except	exclusion
regulation	rule	rules	law	army	uniform
dummy	run	baby	tailor	model	tit
walk	run	talk	over	stroll	around
amok	run	wild	mad	riot	amuck
mournful	sad	death	funeral	black	soul
gloomy	sad	dull	dark	weather	dim
depression	sad	low	black	manic	elation
poignant	sad	memory	sharp	touching	moving
dejected	sad	miserable	down	downcast	depressed
remorse	sad	regret	sadness	sorrow	code
dejection	sad	sadness	depression	rejection	misery
unhappiness	sad	sadness	tears	sorrow	misery
grieving	sad	sorrow	death	sorrowing	cry
miserable	sad	unhappy	happy	depressed	wretched
depressing	sad	work	boring	dull	gloomy
masochism	sadism	pain	whip	hurt	hate
stated	said	fact	mated	named	put
auction	sale	sell	buy	car	money
saline	salt	salty	solution	sea	chemistry
vinegar	salt	sour	chips	wine	acid
different	same	from	odd	people	time
identical	same	twins	twin	similar	kit
grains	sand	wheat	corn	rice	flour
silk	satin	soft	cloth	scarf	cotton
met	saw	office	weather	encountered	friend
perceived	saw	seen	noticed	see	thought
comment	say	no	opinion	speak	remark
bathroom	scales	bath	wash	water	soap
frightened	scared	fear	afraid	terrified	city
prefect	school	authority	ford	monitor	badge
grammar	school	english	book	spelling	french
reports	school	news	paper	psychology	tells
primary	school	secondary	first	education	alcohol
classes	school	social	lectures	lessons	groups
schoolboy	schoolgirl	cap	girl	satchel	child
biology	science	life	school	animal	exam
art	science	painting	paint	music	beauty
border	scotland	edge	line	country	raid
bagpipes	scotland	noise	tartan	music	wind
piercing	scream	ears	shriek	shrill	ear
screwdriver	screw	nail	hammer	tool	screws
fishes	sea	loaves	water	swim	chips
calm	sea	quiet	placid	cool	water
rocks	sea	stones	hard	ice	climbing
oceanography	sea	water	maths	seas	fish
salty	sea	water	taste	brine	crisps
storm	sea	wind	tempest	rain	thunder
ejector	seat	aircraft	out	plane	propeller
minutes	seconds	hours	time	meeting	clock
hear	see	ear	listen	deaf	sound
realize	see	know	understand	dawn	think
look	see	out	listen	up	now
clearly	seen	distinctly	glass	bright	darkly
secret	service	top	hidden	love	spy
civil	service	war	engineering	engineer	servant
mending	sewing	sew	socks	repair	needle
mating	sex	birds	call	season	animals
erotica	sex	book	films	love	books
masturbating	sex	boy	man	penis	wank
urge	sex	desire	persuade	encourage	wish
morality	sex	ethics	church	death	code
fornication	sex	fuck	bible	adultery	good
procreation	sex	god	recreation	reproduction	birth
gender	sex	male	female	masculine	neuter
impotence	sex	men	sterile	useless	weak
reproduce	sex	multiply	baby	copy	procreate
incest	sex	rape	lust	sister	love
rape	sex	woman	girl	violence	women
shudder	shake	cold	fear	shiver	fright
blunt	sharp	knife	instrument	pencil	edge
sword	sheath	dagger	shield	scabbard	fight
shearing	sheep	cut	cutting	force	stress
ram	sheep	ewe	horn	jam	batter
flocks	sheep	geese	birds	crowd	herds
flock	sheep	geese	birds	shepherd	christ
pounds	shillings	money	weight	sterling	ounces
gleam	shine	eye	light	gold	bright
gleams	shines	light	silver	glistens	gold
brassy	shiny	blonde	tart	knob	blade
berth	ship	bed	cabin	boat	death
aground	ship	boat	ashore	sand	land
vessel	ship	boat	empty	jug	blood
cargo	ship	boat	load	freight	hold
launching	ship	boat	pad	rocket	boats
naval	ship	officer	uniform	sea	belly
boat	ship	sail	oar	river	water
navigation	ship	ships	sea	sailing	boat
liner	ship	train	ocean	boat	cruise
funnel	ship	tunnel	filter	train	smoke
liners	ships	boats	sea	ship	ocean
boats	ships	water	planes	sails	sea
blouse	shirt	skirt	girl	woman	bra
constipation	shit	pain	laxative	toilet	ill
buckle	shoe	belt	shoes	strap	bolt
heeled	shoe	shoes	soled	well	over
dancing	shoes	music	ballroom	girls	years
leather	shoes	shoe	jacket	boots	coat
heels	shoes	toes	feet	shoe	soles
supermarket	shop	food	store	basket	tesco
longer	shorter	time	than	lasting	length
shrug	shoulder	shoulders	off	hug	despair
epaulettes	shoulders	shoulder	uniform	soldier	coat
proclaim	shout	announce	say	tell	state
bawl	shout	cry	yell	out	baby
call	shout	girl	phone	me	out
scream	shout	yell	loud	help	fear
reveal	show	expose	hide	open	see
puke	sick	ugh	up	spew	vomit
ill	sick	well	bed	pain	fever
gold	silver	money	ring	watch	yellow
analogy	similar	like	same	story	comparison
unforgivable	sin	crime	wrong	bad	hate
penitence	sin	sorrow	sorry	confession	monk
hum	sing	bee	ha	noise	tune
float	sink	water	boat	rag	ship
brother	sister	love	boy	dave	father
posture	sit	position	pose	stance	stand
banana	skin	boat	yellow	fruit	monkey
pleat	skirt	dress	fold	crease	hair
blue	sky	black	green	red	white
star	sky	light	moon	bright	film
slumber	sleep	bed	land	peace	down
dreaming	sleep	day	freud	sleeping	bed
awoken	sleep	morning	early	alarm	awake
dream	sleep	night	day	nightmare	boat
dozy	sleepy	beaky	sleep	tired	lazy
gym	slip	exercise	sport	games	gymnasium
quick	slow	fast	dead	hurry	flash
gradual	slow	slowly	slope	steady	change
pox	small	chicken	disease	spots	smallpox
dwarf	small	giant	gnome	midget	little
petite	small	little	girl	fleur	french
onions	smell	fried	soup	steak	carrots
sniff	smell	nose	cold	snuff	dog
foul	smell	weather	football	play	dirty
nicotine	smoke	cigarettes	cigarette	smoking	fags
cigars	smoke	cigarettes	havana	smell	pipe
slug	snail	worm	slime	bullet	garden
rattle	snake	baby	shake	football	roll
lizard	snake	green	reptile	animal	rock
reptile	snake	lizard	crocodile	alligator	animal
rattling	snake	noise	baby	bog	car
affected	snob	effected	influenced	false	ill
bubbles	soap	bath	blow	air	charlie
darn	socks	sock	sew	needle	it
loud	soft	noise	bang	noisy	quiet
quietly	softly	noisily	silently	noise	soft
bought	sold	money	buy	shop	purchase
flux	solder	flow	density	magnet	electricity
trooper	soldier	army	swear	cavalry	para
ethereal	solution	heavenly	sky	airy	ether
someone	somewhere	else	person	me	anyone
singing	song	choir	nun	voice	loud
serenade	song	music	sing	moonlight	guitar
throat	sore	neck	cough	cut	larynx
grief	sorrow	death	tears	pain	sad
apology	sorry	excuse	letter	for	written
safe	sound	money	sorry	secure	houses
voice	sound	speak	sing	noise	speech
noises	sounds	sound	loud	bang	night
satellite	space	moon	star	sputnik	rocket
sputnik	space	satellite	russia	russian	russians
area	space	square	volume	acre	circle
cosmos	space	universe	stars	star	russia
say	speak	do	what	something	yes
announce	speak	tell	speech	engagement	declare
talker	speaker	speech	bore	gossip	speak
glasses	spectacles	drink	specs	eyes	sun
oration	speech	caesar	speaker	talk	speak
impediment	speech	hindrance	handicap	lisp	stutter
haste	speed	hurry	quick	run	waste
velocity	speed	physics	vector	acceleration	force
web	spider	net	caught	feet	belt
cobweb	spider	spiders	dust	fly	old
presences	spirits	absences	people	ghosts	here
saliva	spit	mouth	food	dog	wet
splurge	splash	spend	mess	mud	water
triangle	square	eternal	geometry	three	music
box	square	top	glove	lid	office
rectangle	square	triangle	maths	area	box
circles	squares	round	rings	square	mind
bean	stalk	baked	pole	runner	broad
collector	stamps	stamp	rent	tax	money
transfixed	stare	stuck	held	set	gaze
galaxy	stars	chocolate	star	space	universe
begun	started	start	ended	finish	finished
began	started	start	ended	finished	end
remain	stay	here	rest	alone	in
thief	steal	robber	burglar	stop	theft
purloin	steal	sirloin	steak	meat	obtain
pilfering	stealing	steal	pinch	thief	theft
girders	steel	iron	bridge	building	beams
beef	stew	cow	steak	gravy	pork
irish	stew	welsh	bacon	coffee	drunk
match	stick	football	game	maker	light
yard	stick	scotland	foot	back	arm
inertial	still	mass	stop	guidance	lazy
mix	stir	cake	up	cement	drink
agitate	stir	mix	annoy	disturb	move
tights	stockings	legs	ladder	stocking	ladders
shares	stocks	money	stock	company	dividends
upset	stomach	cry	sad	spill	unhappy
paving	stone	stones	crazy	road	path
hesitate	stop	lost	wait	falter	think
abate	stop	storm	cease	lessen	subside
tales	stories	fairy	story	woe	fairies
adventure	story	fun	travel	excitement	exciting
upright	straight	erect	vertical	standing	chair
direct	straight	indirect	point	show	hit
line	straight	up	railway	circle	ship
stress	strain	tension	worry	accent	analysis
bizarre	strange	odd	weird	funny	mad
jam	strawberry	bread	marmalade	pot	butter
muscles	strength	body	biceps	ache	arm
weakness	strength	illness	failure	feeble	ill
robust	strong	healthy	robot	stout	big
powerful	strong	mighty	muscle	boat	force
determined	stubborn	sure	found	obstinate	person
irrational	stupid	rational	illogical	mad	anger
congratulation	success	thanks	birthday	wedding	card
spice	sugar	life	nice	pepper	herbs
sweetness	sugar	sour	light	sourness	nice
lump	sugar	throat	bump	cancer	boil
boiler	suit	chicken	heat	house	room
tailor	suit	made	clothes	cloth	jew
befit	suit	right	suitable	misfit	become
magnesium	sulphate	oxide	chemistry	metal	flare
holidays	summer	sun	abroad	vacation	fun
confident	sure	assured	happy	self	cocky
superficial	surface	deep	shallow	false	artificial
amazement	surprise	wonder	astonishment	horror	incredulity
caramel	sweet	chocolate	toffee	wafer	cream
sugars	sweet	sweets	spices	lump	lumps
fudge	sweet	toffee	chocolate	food	sugar
crawl	swim	baby	walk	belly	child
dive	swim	water	splash	jump	bomb
pool	swimming	water	swim	blood	deep
golden	syrup	wonder	boy	hair	silver
napkin	table	baby	ring	cloth	dinner
label	tag	bottle	jam	sticky	coat
wag	tail	dog	finger	wig	shake
bespoke	tailor	said	overcoat	engaged	suit
heads	tails	hair	together	roll	black
capture	take	prisoner	catch	escape	release
accepted	taken	rejected	took	agreed	refused
tell	tale	me	william	relate	tales
yarn	tale	story	wool	thread	spin
telling	tales	lies	story	tale	off
chatter	talk	box	women	noise	monkey
gossip	talk	chat	women	scandal	chatter
communicate	talk	speak	telephone	letter	tell
height	tall	weight	depth	length	feet
shrews	taming	mice	shakespeare	voles	animals
washer	tap	woman	machine	nut	dishes
magnetic	tape	field	iron	personality	attraction
brew	tea	beer	up	eleven	home
biscuits	tea	tin	cheese	food	chocolate
caries	teeth	dental	what	bag	canaries
fangs	teeth	dog	snake	wolf	animal
dental	teeth	surgeon	surgery	tooth	appointment
coverage	television	news	newspaper	sport	tarpaulin
recount	tell	election	again	count	vote
fortune	teller	money	gold	fame	luck
nine	ten	teen	pins	cats	times
camp	tent	fire	bed	coffee	guides
camping	tent	tents	gaz	holiday	site
awful	terrible	bad	horrible	nasty	dreadful
examination	test	pass	paper	work	question
grateful	thanks	thankful	dead	happy	pleased
fancy	that	dress	free	goods	cake
us	them	we	you	all	america
group	therapy	people	captain	crowd	music
thin	thick	fat	man	long	rake
robber	thief	bank	bandit	cop	cops
thick	thin	fat	head	stupid	brick
contemplate	think	meditate	consider	navel	ponder
suppose	think	that	imagine	not	guess
wistful	thinking	sad	dreamy	longing	pensive
quench	thirst	fire	drink	beat	beer
hunger	thirst	strike	food	pain	famine
that	this	man	what	is	there
think	thought	brain	mind	work	hard
idea	thought	think	good	brain	mind
legged	three	four	long	two	animal
finger	thumb	nail	hand	stall	digit
lightning	thunder	flash	strikes	conductor	storm
storms	thunder	sea	rain	weather	wind
neat	tidy	untidy	clothes	cold	conformist
collar	tie	dog	bone	white	cuff
bind	tie	rope	tight	book	bound
shirt	tie	tail	button	sleeve	trousers
shirts	ties	white	socks	collars	dirty
loose	tight	fast	women	woman	find
squeeze	tight	hug	lemon	squash	sponge
holds	tight	judo	ship	barred	grips
feeding	time	baby	food	eating	breast
sands	time	beach	sea	yellow	dunes
wasted	time	lost	ruined	thin	away
ages	time	old	years	past	rock
container	tin	box	plastic	bottle	bin
mushroom	toadstool	soup	cloud	field	bomb
simultaneous	together	now	equation	same	immediate
joining	together	wood	club	glue	army
machine	tool	computer	sewing	gun	noise
pliers	tool	wire	nails	tools	tongs
equipment	tools	camping	apparatus	gear	sports
rack	torture	pinion	pain	clothes	ruin
country	town	england	house	life	side
suburbs	town	houses	city	london	towns
city	town	london	people	noise	traffic
congestion	traffic	indigestion	jam	london	lungs
compartments	train	boxes	trains	flats	rooms
ticket	train	bus	railway	collector	machine
goods	train	chattels	wagon	yard	bads
express	train	fast	daily	paper	say
signal	train	sign	red	trains	box
rails	train	trains	off	lines	iron
heart	transplant	beat	love	soul	ache
hidden	treasure	lost	concealed	found	meaning
bough	tree	branch	golden	cough	down
chestnut	tree	horse	conker	roast	brown
coniferous	tree	trees	forest	fir	deciduous
leaves	tree	trees	green	autumn	fall
willow	tree	weeping	bat	pattern	weep
planting	trees	seeds	flowers	seed	tree
firs	trees	tree	cones	forest	animals
elms	trees	tree	oaks	ash	green
tribulation	trial	trials	trouble	joy	worry
geometrical	triangle	progression	square	shape	maths
trials	tribulations	jury	court	judge	errors
attempted	tried	try	failed	suicide	murder
excursion	trip	outing	bus	journey	coach
important	trivial	unimportant	notice	news	not
bother	trouble	fuss	nuisance	brother	sister
braces	trousers	belt	teeth	elastic	garters
flannel	trousers	face	soap	towel	cloth
shorts	trousers	legs	longs	pants	rugby
trews	trousers	tartan	pants	jeans	kilt
flies	trousers	zip	insects	buzz	ointment
brains	trust	head	brawn	clever	intelligence
lie	truth	down	fib	false	tell
honesty	truth	policy	dishonesty	good	money
underground	tube	music	railway	train	station
delight	turkish	joy	happiness	sex	pleasure
one	two	day	single	all	time
pair	two	shoes	couple	apple	au
species	type	animal	kind	man	genus
unsure	uncertain	safe	sure	certain	unsafe
over	under	above	out	there	all
comprehend	understand	know	grasp	intelligent	school
realized	understood	saw	seen	dawned	thought
improbably	unlikely	not	doubtful	likely	no
unfortunate	unlucky	sad	poor	unhappy	man
necessary	unnecessary	essential	need	must	food
uncertain	unsure	sure	certain	hesitant	doubt
unfounded	untrue	false	wrong	claim	lost
belt	up	buckle	trousers	waist	leather
wrap	up	cover	around	round	shawl
thumbs	up	fingers	hands	hand	screws
rave	up	rant	dance	mad	party
kidneys	urine	liver	steak	transplant	machine
ourselves	us	we	yourselves	me	people
futile	useless	hopeless	silly	pointless	argument
unnecessary	useless	waste	needless	superfluous	necessary
essence	vanilla	petrol	smell	being	perfume
noun	verb	pronoun	word	adjective	name
poems	verse	beauty	songs	odes	poets
poem	verse	poet	words	rhyme	song
breathtaking	view	experience	sight	exciting	air
clinging	vine	hold	hanging	climbing	clutching
grape	vine	wine	fruit	juice	bunch
cello	violin	music	orchestra	bow	instrument
musician	violin	music	piano	guitar	orchestra
fiddles	violin	violins	music	sticks	plays
audio	visual	sound	ear	tape	hear
larva	volcano	grub	insect	butterfly	flow
leeks	wales	welsh	onions	soup	vegetable
strut	walk	cock	peacock	wing	about
hike	walk	hitch	boots	bike	feet
ran	walked	run	race	away	fast
magician	wand	magic	wizard	rabbit	conjurer
desire	want	lust	sex	passion	love
need	want	money	desire	require	love
campaign	war	battle	election	politics	army
destroying	war	bomb	break	soul	burning
destruction	war	bomb	death	break	annihilation
trench	war	coat	ditch	hole	dig
conflict	war	fight	struggle	laws	strife
armament	war	guns	arms	weapon	gun
peace	war	quiet	mind	pipe	dove
laundry	washing	clothes	wash	dirty	sheets
pocket	watch	money	handkerchief	book	hole
floating	water	boat	ship	voter	sinking
globule	water	drop	oil	round	blob
well	water	ill	deep	bucket	done
pitcher	water	jug	baseball	well	fork
tap	water	knock	drip	dance	sink
fluids	water	liquids	liquid	body	mechanics
tonic	water	medicine	gin	wine	bottle
falls	water	niagara	down	drops	victoria
flood	water	noah	wet	rain	plain
mineral	water	ore	gold	iron	salt
pump	water	petrol	bicycle	air	stomach
bilge	water	rubbish	bulge	ship	boat
drown	water	sea	sink	dead	swim
submarine	water	sea	yellow	under	boat
drainage	water	sewer	sewers	sewage	ditch
liquid	water	solid	drink	fairy	gas
seep	water	through	drip	leak	wet
glass	water	window	clear	drink	pane
sea	waves	shore	side	water	boat
mid	way	middle	between	point	among
manner	way	polite	house	how	good
strong	weak	man	muscle	arm	silent
feeble	weak	strong	week	attempt	frail
health	wealth	doctor	good	illness	sickness
prosperity	wealth	rich	money	poverty	happiness
climate	weather	hot	cold	rain	wet
shotgun	wedding	marriage	bullet	fire	bang
badly	well	worse	done	hurt	poorly
came	went	arrived	come	along	from
dry	wet	gin	cleaning	desert	earth
rained	wet	poured	snowed	off	water
bikes	wheels	motor	pedals	cars	cycle
since	when	then	time	because	ago
whence	where	from	thence	came	cometh
crack	whip	break	split	up	joke
shrill	whistle	noise	high	sharp	cry
blanco	white	army	belt	nothing	spain
snow	white	ice	cold	fall	flake
guess	who	what	try	attempt	game
reasons	why	excuses	for	logic	answers
how	why	now	when	do	indian
wonder	why	think	at	boy	amazement
wondering	why	thinking	pondering	if	thought
narrow	wide	straight	thin	broad	road
expanse	wide	vast	waste	sea	open
spouse	wife	husband	woman	bed	ego
husband	wife	man	child	fun	horrible
shall	will	not	be	do	we
politic	wilson	government	body	party	polite
prize	win	book	first	giving	money
blew	wind	nose	whistle	out	blow
breeze	wind	sea	cool	trees	balmy
hurricane	wind	storm	gale	eye	blow
mesh	wire	net	fine	gears	work
spell	witch	word	bound	words	write
accordance	with	agreement	agree	accordion	concordance
within	without	inside	house	home	in
foreigner	wog	stranger	alien	french	abroad
coons	wogs	black	blacks	animal	goons
cleaners	women	mop	pipe	brush	chars
hut	wood	shed	house	garden	mountain
rotting	wood	smell	apple	vegetation	apples
dictionary	words	book	word	oxford	german
studying	work	books	working	hard	learning
study	work	hard	room	bedroom	book
responsibilities	work	heavy	duties	none	burdens
briefcase	work	leather	books	suit	papers
essays	work	writing	write	compositions	words
navvies	workers	irish	workmen	roads	work
segmentation	worm	orange	bits	pieces	cut
troubles	worries	worry	cares	problems	woes
anxiety	worry	fear	anxious	neurosis	stress
heal	wound	cure	mend	sick	doctor
fester	wound	sore	rot	pus	yellow
squirm	wriggle	worm	squeal	uncomfortable	away
bracelet	wrist	arm	gold	charm	bangle
essay	write	work	english	words	composition
misdeed	wrong	bad	crime	naughty	sin
american	yank	english	big	indian	money
mellowness	yellow	autumn	soft	fruit	old
thou	you	art	shalt	thee	god
childish	young	infantile	stupid	immature	silly
hostel	youth	hotel	home	house	hiking
